groupid,output
0,0.000879576
2,0.00662979
3,0.000632732
5,0.110085
6,0.0126932
7,0.74687
8,0.0342758
9,0.133015
10,0.00570844
11,0.163461
12,0.105533
13,0.902605
14,0.00166992
15,0.000966161
16,0.00343388
17,0.0149564
18,0.00278868
19,0.0428136
20,0.0807231
22,0.0249543
23,0.00184383
24,0.0182694
25,0.00356381
26,0.0050084
28,0.0637958
30,1
31,0.913659
32,0.00874923
34,0.0193282
35,0.0424591
36,0.0257352
37,0.0685559
38,0.00605943
39,0.0137128
40,0.00766126
41,0.00121827
42,0.00953338
43,0.0277579
44,1
45,0.00839056
46,0.00359941
47,0.0276271
48,0.0207857
49,1
50,0.985779
51,0.171749
52,0.0163147
53,0.0010815
54,0.00576147
55,0.00179887
56,0.533015
57,0.0150055
59,0.967402
60,0.0144528
64,0.928672
65,0.00496026
66,0.0047543
67,0.00104524
68,0.0447446
70,0.00121421
71,0.018535
72,0.000879858
73,0.0310921
74,0.00313077
75,0.00293152
76,0.00161016
78,0.683816
79,0.00674351
80,0.00089437
81,0.0157408
82,0.0378545
83,0.0310819
85,0.0352996
86,0.0353813
87,0.16693
90,0.0720566
91,1
92,0.000356262
93,1
94,0.000239644
95,0.00318917
96,1
97,0.0274671
98,8.21287e-06
99,0.00942457
100,0.0011631
101,0.00464433
102,0.00699563
103,0.956106
105,0.00144747
106,1.85581e-05
107,0.00138602
109,0.0179797
110,0.0041015
111,0.0119483
112,0.162181
113,0.794304
114,0.0737709
115,0.000566551
116,0.00270135
117,0.0115573
118,0.00203943
119,0.00290332
120,1
122,0.000289349
123,0.00019475
124,0
125,0.0613307
126,0.00387284
127,0.00156159
129,0.000338009
130,0.00823041
131,0.00985706
132,0.0688695
133,0.222283
134,0.421827
135,0.725925
136,0.257267
137,0.00921888
138,0.641372
139,0.0237942
140,0.000783087
141,0.855248
142,0.00376811
143,0.0302303
145,0.000115755
146,9.40983e-05
147,0.254992
148,0.00412089
150,0.0387809
151,0.0119823
152,0.0313533
153,0.0106767
154,0.00213854
155,0.0613315
156,1
157,0.826439
158,0.968379
159,0.0592506
160,0.270627
161,0.99449
163,0.0579365
164,0.00856434
165,0.0107351
166,0.110053
167,0.0285357
168,0.5288
169,0.749459
170,0.984972
171,0.984958
172,0.960485
173,0.00217794
174,0.0365592
175,0.030204
176,0.0163298
177,0.0154429
178,0.026463
179,0.0314851
180,0.161432
181,0.997828
182,0.878957
183,0.00959554
184,0.0197075
185,0.0222095
186,0.012834
187,0.923646
188,0.0394722
189,0.0491249
191,0.00344361
192,6.9618e-05
193,0.00668699
194,0.0112412
195,1
196,0
197,0.00312798
198,0.00274008
199,0.00297182
200,0.016481
201,0.108957
202,0.0689171
203,0.318407
204,0.00190314
206,0.00713961
207,0.00139647
208,0.513092
209,0.0135793
210,0.000850227
211,0.00636781
212,0.00958425
213,1
215,0.0208924
216,0.0308634
217,0.0387403
218,1
219,0.812451
220,0.00239622
221,0.00398464
222,0.00865721
223,0.059815
224,0.0180322
225,0.0935813
226,0.00702383
227,0.430599
228,0.00249742
229,0.00251163
230,0.573124
231,0.0365575
232,0.114138
233,0.00410646
235,0.103147
237,0.000884051
238,0.333573
239,0.00329698
240,0.00457202
241,0.0108473
242,0.955771
243,0.0377392
244,0.000593502
245,0.00150403
246,0.0225899
247,0.0135486
248,0.0478626
249,0.0605084
251,0.0309529
252,0.0326339
253,0.0195272
256,1
258,0.0961997
260,0.081655
261,1
262,0.00431698
263,0.00313712
264,0.988955
265,0.00165878
268,0.00454995
269,0.00153924
270,0.00180626
272,0.0180432
273,0.00127628
274,0.0759714
275,1
276,0.0533936
277,0.0377387
278,0.0197505
279,0.0018435
280,0.0124027
281,0.0350703
282,0.0302552
283,0.00075107
284,0.0178929
286,0.837837
287,0.0201702
288,0.00892675
289,0.970595
290,0.0114984
291,0.0473303
292,0.151781
294,0.191521
295,0.898706
296,1
298,0.00214457
299,0.118423
301,0.253003
302,0.0285757
304,0.0102052
305,0.0463376
306,0.20069
307,0.370315
308,0.98768
309,0.978309
311,0.847063
312,0.955591
313,0.969072
315,0.985195
319,0.913892
320,0.870259
321,1
322,0.00523692
323,0.00181851
324,0.000413759
325,0.305064
326,0.0213433
327,0.0138432
330,0.969695
332,0.00454116
333,0.00144257
334,0.00239265
335,0.00443694
336,0.00887527
337,0.00192295
338,0.00289915
339,0.0108132
340,0.0108228
341,0.0131251
342,0.00413938
344,0.0166033
345,0.0073892
346,0.00812213
347,0.0354762
348,0.816047
349,0.0551021
350,0.286751
351,0.161852
352,0.0529105
353,0.992151
354,0.993497
355,1
356,0.997181
358,1
359,0.888624
360,0.66935
361,0.947571
362,0.891243
364,0.0011863
365,0.0020134
366,0.0178773
367,0.000659039
368,0.0378169
369,0.0088048
370,0.272399
372,0.00164876
373,0.57171
374,0.00397605
375,0.00769691
376,0.0120028
377,0.00243428
378,0.00425633
379,0.053646
380,0.0228736
381,0.0143675
382,0.00164708
383,0.0017191
384,0.0187104
385,0.0752256
386,0.0175703
387,0.0211724
388,0.670523
389,0.165911
390,0.00283449
391,0.0017684
392,0.0158386
393,0.000562772
394,0.0436997
395,0.0202026
396,1
397,0.0162877
399,0.00251932
400,0.000445426
401,0.0114071
402,0.00502592
404,0.0215047
405,0.0227968
407,0.00364972
410,0.773165
411,0.729871
412,0.160057
413,0.0667772
414,1
415,0.173623
416,0.971463
417,0.000133507
420,1
421,0.0030959
422,0.945292
423,0.00513946
424,0.0128877
425,0.00384466
427,0.661598
428,0.0442806
429,0.00480894
430,0.122451
432,0.0166939
433,0.00201936
435,0.00211848
437,0.0138334
438,0.0120346
440,0.038571
444,0.000295183
445,0.000864468
446,0.00232879
448,0.0235922
450,0.00310403
451,0.0206895
452,0.0326567
453,0.0045063
454,0.0930097
455,0.031762
456,0.0813226
457,0.108776
458,0.981618
460,0.0111158
461,0.00172734
462,0.00838412
464,0.0018953
466,0.00141782
467,0.000706115
468,1
469,0.0116913
470,0.000949069
471,0.00570411
472,0.00894114
473,0.000139397
475,0.00189487
476,0.00766563
477,0.00523438
479,0.00969458
480,0.0962735
481,0.0101948
482,0.0363856
483,0.0734487
484,0.0180668
485,0.0159803
487,0.00729552
488,0.055183
489,1
491,0.99311
492,1
493,0.0102828
494,0.0963037
495,0.437586
496,0.00066141
497,0.0120706
498,0.336512
499,1
500,0.0246575
502,0.00508548
503,1
504,0.0315099
505,0.00194163
506,0.0294191
508,0.000746609
509,0.614223
510,0.000916758
511,0.00633061
512,0.0216167
513,0.0279085
514,0.0971788
515,0.0056129
516,0.562185
517,0.00135946
518,0.00929185
519,0.0282585
520,0.0514166
521,0.102774
522,0.0311483
523,0.526537
524,0.00109808
525,0.00748452
526,0.000367668
527,0.00602073
528,0.0100802
529,0.0383538
530,0.0221618
532,0.043268
533,0.0509986
534,0.484816
535,0.952966
536,0.000983611
537,0.00852066
538,0.0582327
540,0.00137926
541,0.00443926
542,0.00658107
543,0.00662899
544,0.00596083
545,0.875922
546,0.0142904
547,0.0320195
548,0.000495949
549,9.87759e-05
550,0.0042733
552,0.0100325
554,0.107707
555,0.0436991
556,0.0230946
557,0.00918444
558,0.00924559
559,0.830754
560,0.0294493
561,0.544415
564,0.00124514
565,0.00120695
566,0.000157138
567,0.0016108
568,0.00146559
569,0.0304445
570,1
571,0.000878008
572,0.0246614
573,0.00395216
574,0.0555565
575,0.0172911
577,0.0166699
578,0.0459004
579,1
580,0.00252525
581,0.00215287
582,0.017682
583,0.334825
584,0.0544074
585,0.269022
586,0.00354809
587,0.0185227
588,0.92121
589,0.0141678
590,0.00146248
591,0.00770846
592,0.0343636
593,0.0324455
594,0.0191152
595,0.0152145
598,0.117348
599,0.00344784
600,0.233412
601,0.272063
602,0.0127933
603,0.0155321
604,0.0448938
605,0.0176122
606,0.0690055
607,0.852531
608,0.374541
609,0.754052
610,0.182598
612,0.035543
614,0.0170179
615,1
616,0.193754
617,0
619,0.0194989
620,0.00425478
621,0.00608268
623,0.0254466
624,0.0106342
626,0.00235161
627,0.0435084
628,0.00107718
629,0.557305
630,0.107471
631,0.984437
633,0.0972912
634,1
635,0.00963519
636,0.041353
637,0.00434279
638,0.0236398
639,0.0343709
640,0.110503
641,0.994378
643,1
644,1
645,1
648,0.00028607
650,1
651,0.00650676
652,0.0187699
653,0.593201
654,0.00668983
655,1
656,0.200604
659,1
660,0.000100055
661,0.000108261
662,0.0526518
663,0.0317412
664,0.830966
665,0.00270723
666,0.00168397
667,0.00878297
668,0.0651491
669,0.0185755
670,9.0719e-05
671,0.000137173
672,0.00129436
673,0.00259348
675,0.0144059
676,0.00812926
679,0.00245787
680,0.000394334
681,0.00630439
682,1
683,0.00376604
684,1
685,0.0247596
688,0.0137457
689,0.557802
690,0.00405892
692,0.568141
693,0.984883
694,0.00519032
695,0.00168949
696,0.00162208
697,0.00618973
698,0.0105147
699,0.0265419
700,0.0272919
701,0.0328935
702,0
703,0.962795
704,0.00813427
705,0.00830196
706,0.00561377
707,0.0464719
708,0.0756905
710,0.993515
712,1
713,0.00128096
714,0.0115116
715,0.00359006
716,0.0578103
717,0.0573607
718,0.0072452
719,0.0253613
720,0.0178001
721,0.0143079
723,0.00676699
724,0.0684875
725,0.693725
726,0.00585805
728,0.00129527
730,0.0124543
731,0.167543
732,1
733,0.993211
734,0.993282
735,1
736,0.987294
738,8.34081e-05
739,0.0012908
742,0.0308433
743,0.00110375
744,0.259169
745,0.00184038
746,0.0143383
747,0.103817
748,0.0160375
749,0.023371
750,0.0224839
751,0.0118046
752,0.0145564
753,0.999164
754,0.6497
755,0.066471
756,0.105355
757,0.108189
758,0.872399
759,0.106178
760,0.0181243
761,0.0039894
762,0.00692071
763,0.00135891
764,0.00403115
765,0.0468575
766,0.0392025
767,0.0163382
768,0.717906
769,0.00853687
770,0.192701
771,0.00901282
772,0.881362
774,0.555015
775,1
776,0.00131716
777,0.020726
778,0.0581179
780,1
785,0.00174371
786,0.0301884
787,0.016015
788,0.00756005
789,0.01819
790,0.0345075
791,1
792,0.143241
793,0.00856632
794,0.00699489
795,0.0356512
796,0.0186228
797,0.0284417
798,0.186407
799,0.035712
800,0.0432474
801,1
802,0.00242342
803,0.00789479
804,0.00455452
806,0.0110218
